RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,75682867,White,830,Germany,Male,52,3,163683.19,3,0,0,80328.78,0
2,66755036,Adams,752,Germany,Female,27,4,82011.92,3,0,1,34301.59,0
3,66882282,Turner,582,France,Female,32,8,211226.74,1,1,0,128827.74,0
4,31081788,Gupta,633,Germany,Male,19,2,56173.4,1,1,0,198148.79,0
5,23315092,Allen,829,Spain,Female,39,0,91123.67,2,1,1,30477.93,1
6,45788921,Khan,358,Spain,Female,29,3,229108.13,1,0,0,90537.66,1
7,36735830,Khan,728,Spain,Female,79,9,143387.45,1,0,0,92014.9,0
8,41632483,Roy,730,Spain,Female,62,5,1558.76,2,1,0,32569.52,0
9,86737383,Adams,709,France,Female,75,6,61005.33,3,0,0,53381.6,0
10,98358551,Singh,525,Spain,Male,37,3,188329.05,1,0,1,101512.09,0
11,98409749,Khan,834,Spain,Male,68,3,13012.05,1,1,0,192002.13,0
12,14981505,Cruz,754,Spain,Female,24,5,248264.03,2,0,1,122631.91,0
13,23953367,Turner,382,Germany,Female,41,0,224476.49,1,0,0,37971.84,0
14,95652971,Sharma,814,Germany,Female,84,4,55956.7,4,1,0,153591.13,0
15,14521373,Morgan,506,France,Male,87,10,223876.21,1,0,1,174311.85,0
16,13344769,Hall,551,France,Female,70,2,174868.39,3,1,0,165471.98,0
17,86893497,White,524,France,Female,51,7,106337.7,2,1,1,167300.04,1
18,40349564,Allen,593,Spain,Female,50,4,49029.37,3,1,1,166115.67,1
19,52860080,Hall,618,France,Female,40,6,50052.86,3,1,1,60104.55,0
20,87751354,Roy,795,Germany,Male,75,7,148518.59,3,0,1,126948.97,0
21,72250665,Adams,423,Germany,Female,85,7,104015.32,2,1,0,49271.79,0
22,76209791,Turner,445,Germany,Female,86,1,148801.46,4,1,0,79105.34,0
23,56792155,Bose,522,Spain,Female,57,1,82563.89,1,0,0,95109.29,1
24,31498555,Das,755,Spain,Female,64,9,57518.63,3,0,1,97746.7,0
25,70221198,Brown,504,France,Female,60,4,209138.91,2,0,0,98818.61,0
26,89757501,Gupta,532,France,Female,78,2,230010.89,1,1,1,161032.12,0
27,26861870,Khan,672,France,Female,59,9,176314.3,2,1,0,131633.25,0
28,62286002,Hall,638,France,Male,79,0,40397.22,3,0,0,135520.28,0
29,42049003,Morgan,607,Spain,Female,84,7,23077.61,2,0,1,158358.91,0
30,71136438,Khan,523,Germany,Male,72,5,134770.92,3,0,0,57244.0,1
31,72194931,Brown,679,Spain,Male,66,2,137588.05,2,1,1,103596.57,0
32,75285250,Adams,580,France,Female,66,7,159810.41,3,0,1,173932.98,0
